step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,33,1,0.41490526071400385,0.0,0.0,0.16499729329654655,0.0,0.0,,,,,,
2,66,2,0.3392952306498773,0.0,0.0,,,,,,,,,
3,99,3,0.3266564177640248,0.0,0.0,,,,,,,,,
4,124,4,0.21054716968288026,0.0,0.0,,,,,,,,,
5,157,5,0.0701339593832381,1.0,1.0,,,,,,,,,
6,294,6,0.049237873434484596,0.0,0.0,,,,,,,,,
7,319,7,0.04135664114825583,1.0,1.0,,,,,,,,,
8,344,8,0.037632237525346376,1.0,1.0,,,,,,,,,
9,401,9,0.08751265210171237,0.0,0.0,0.035475614816137487,1.0,1.0,,,,,,
10,426,10,0.04475480790715664,1.0,1.0,,,,,,,,,
11,443,11,0.0414348952099681,1.0,1.0,,,,,,,,,
12,532,12,0.05035731699439401,1.0,1.0,,,,,,,,,
13,597,13,0.12105529012529133,0.0,0.0,,,,,,,,,
14,750,14,0.05631370590576951,0.0,0.0,,,,,,,,,
15,783,15,0.03324983387370594,1.0,1.0,,,,,,,,,
16,808,16,0.03483226465682188,1.0,1.0,,,,,,,,,
17,833,17,0.04394015200203284,1.0,1.0,0.06720423703896813,0.0,0.0,,,,,,
18,906,18,0.032764937719189716,1.0,1.0,,,,,,,,,
19,1219,19,0.03205248553655297,1.0,1.0,,,,,,,,,
20,1244,20,0.08688399624545126,0.0,0.0,,,,,,,,,
21,1333,21,0.036991676561195744,1.0,1.0,,,,,,,,,
22,1374,22,0.03384348671008047,1.0,1.0,,,,,,,,,
23,1423,23,0.06589698461039613,0.0,0.0,,,,,,,,,
24,1456,24,0.0365754186767299,1.0,1.0,,,,,,,,,
25,1505,25,0.0309842565174525,1.0,1.0,0.049898113544331865,1.0,1.0,,,,,,
26,1522,26,0.03920406915247441,1.0,1.0,,,,,,,,,
27,1579,27,0.04277841183839232,1.0,1.0,,,,,,,,,
28,1628,28,0.030688287444257487,1.0,1.0,,,,,,,,,
29,1693,29,0.06036935879383236,0.0,0.0,,,,,,,,,
30,1710,30,0.04588845790713095,1.0,1.0,,,,,,,,,
31,1727,31,0.06957345061004162,1.0,1.0,,,,,,,,,
32,1736,32,0.06113825976382942,1.0,1.0,,,,,,,,,
33,1753,33,0.034292341773398224,1.0,1.0,0.028078225845626248,1.0,1.0,,,,,,
34,1786,34,0.027638824745081364,1.0,1.0,,,,,,,,,
35,1803,35,0.04045554405078292,1.0,1.0,,,,,,,,,
36,1828,36,0.04750930779613555,1.0,1.0,,,,,,,,,
37,1861,37,0.020212896976590854,1.0,1.0,,,,,,,,,
38,1918,38,0.03607143320733615,1.0,1.0,,,,,,,,,
39,1935,39,0.045695752259343865,1.0,1.0,,,,,,,,,
40,2016,40,0.04093621172499843,0.0,0.0,,,,,,,,,
41,2073,41,0.03780746446523283,1.0,1.0,0.035429188070508336,1.0,1.0,,,,,,
42,2098,42,0.03249874483483533,1.0,1.0,,,,,,,,,
43,2211,43,0.023951623814833248,1.0,1.0,,,,,,,,,
44,2228,44,0.030403280355094466,1.0,1.0,,,,,,,,,
45,2269,45,0.025387060376757288,1.0,1.0,,,,,,,,,
46,2422,46,0.03691248375260521,1.0,1.0,,,,,,,,,
47,2447,47,0.03804098488625944,1.0,1.0,,,,,,,,,
48,2464,48,0.5901713284570724,0.0,0.0,,,,,,,,,
49,2521,49,0.03523918359787786,1.0,1.0,0.0454935276195613,0.0,0.0,,,,,,
50,2538,50,0.02199339280421555,1.0,1.0,,,,,,,,,
51,2555,51,0.03177036992477952,1.0,1.0,,,,,,,,,
52,2612,52,0.029458932017109227,1.0,1.0,,,,,,,,,
53,2669,53,0.05957229743595234,0.0,0.0,,,,,,,,,
54,2726,54,0.022572511251200918,1.0,1.0,,,,,,,,,
55,2759,55,0.025392031524606864,1.0,1.0,,,,,,,,,
56,2816,56,0.05952916139470679,0.0,0.0,,,,,,,,,
57,2833,57,0.028833787434268742,1.0,1.0,0.07677700825035572,1.0,1.0,,,,,,
58,2858,58,0.03101164320478953,1.0,1.0,,,,,,,,,
59,2891,59,0.038800364444923616,1.0,1.0,,,,,,,,,
60,2916,60,0.43130795807888106,0.0,0.0,,,,,,,,,
61,2941,61,0.029805278769150997,1.0,1.0,,,,,,,,,
62,2990,62,0.029034855141944718,1.0,1.0,,,,,,,,,
63,3007,63,0.24081920713186264,0.0,0.0,,,,,,,,,
64,3024,64,0.023285676387022253,1.0,1.0,,,,,,,,,
65,3089,65,0.03209693655955562,1.0,1.0,0.046341992591333106,1.0,1.0,,,,,,
66,3186,66,0.08448465470923112,0.0,0.0,,,,,,,,,
67,3275,67,0.03246258330912414,1.0,1.0,,,,,,,,,
68,3324,68,0.044185849161197735,1.0,1.0,,,,,,,,,
69,3373,69,0.060381526125905416,1.0,1.0,,,,,,,,,
70,3390,70,0.04229127871803939,1.0,1.0,,,,,,,,,
71,3543,71,0.02769985324886971,1.0,1.0,,,,,,,,,
72,3568,72,0.030096732644985122,1.0,1.0,,,,,,,,,
73,3593,73,0.033113083467663576,1.0,1.0,0.03364538684953004,1.0,1.0,,,,,,
74,3610,74,0.03655774127691984,1.0,1.0,,,,,,,,,
75,3691,75,0.036901770031581696,1.0,1.0,,,,,,,,,
76,3748,76,0.03037124887358264,1.0,1.0,,,,,,,,,
77,3773,77,0.044532384224003185,1.0,1.0,,,,,,,,,
78,3806,78,0.13034463784657419,0.0,0.0,,,,,,,,,
79,3823,79,0.052641941495239736,1.0,1.0,,,,,,,,,
80,3864,80,0.043881783089134846,1.0,1.0,,,,,,,,,
81,3889,81,0.03233946405195942,1.0,1.0,0.22693391785025596,0.0,0.0,,,,,,
82,3930,82,0.038774267553002575,1.0,1.0,,,,,,,,,
83,3979,83,0.028065088003252945,1.0,1.0,,,,,,,,,
84,3996,84,0.03196146224508993,1.0,1.0,,,,,,,,,
85,4037,85,0.036268338370136925,1.0,1.0,,,,,,,,,
86,4070,86,0.02714402471203357,1.0,1.0,,,,,,,,,
87,4087,87,0.04084808167070151,1.0,1.0,,,,,,,,,
88,4168,88,0.03461473417966045,1.0,1.0,,,,,,,,,
89,4241,89,0.03870295464123046,1.0,1.0,0.049410963635891675,1.0,1.0,,,,,,
90,4250,90,0.040339708980172875,1.0,1.0,,,,,,,,,
91,4331,91,0.028353411489631983,1.0,1.0,,,,,,,,,
92,4348,92,0.3909273983538151,0.0,0.0,,,,,,,,,
93,4421,93,0.03591563934770723,1.0,1.0,,,,,,,,,
94,4462,94,0.11198823038267439,0.0,0.0,,,,,,,,,
95,4487,95,0.04867211452374855,1.0,1.0,,,,,,,,,
96,4528,96,0.05329148481041193,1.0,1.0,,,,,,,,,
97,4585,97,0.03564780217312675,1.0,1.0,0.05425719810184091,0.0,0.0,,,,,,
98,4618,98,0.037489343364723024,1.0,1.0,,,,,,,,,
99,4643,99,0.2318034739047289,0.0,0.0,,,,,,,,,
100,4692,100,0.04514117059733203,0.0,0.0,,,,,,,,,
101,4709,101,0.03812075775116682,1.0,1.0,,,,,,,,,
102,4734,102,0.047965762701739245,1.0,1.0,,,,,,,,,
103,4751,103,0.03303013823926449,1.0,1.0,,,,,,,,,
104,4776,104,0.042265470077594125,1.0,1.0,,,,,,,,,
105,4809,105,0.03162278668954969,1.0,1.0,0.03790108697754996,1.0,1.0,,,,,,
106,4866,106,0.0417968797510756,1.0,1.0,,,,,,,,,
107,4915,107,0.035893402739845134,1.0,1.0,,,,,,,,,
108,4948,108,0.07297586683882401,0.0,0.0,,,,,,,,,
109,4973,109,0.022273656427860257,1.0,1.0,,,,,,,,,
110,5030,110,0.03074523254763335,1.0,1.0,,,,,,,,,
111,5135,111,0.03157972247268145,1.0,1.0,,,,,,,,,
112,5160,112,0.04811930218711495,1.0,1.0,,,,,,,,,
113,5193,113,0.038425314443738895,1.0,1.0,0.03390552984783426,1.0,1.0,,,,,,
114,5298,114,0.05986477446957347,0.0,0.0,,,,,,,,,
115,5355,115,0.03637755768107516,1.0,1.0,,,,,,,,,
116,5412,116,0.03375191749906142,1.0,1.0,,,,,,,,,
117,5445,117,0.03071821880992502,1.0,1.0,,,,,,,,,
118,5742,118,0.045135167223174046,0.0,0.0,,,,,,,,,
119,5783,119,0.03285269053746015,1.0,1.0,,,,,,,,,
120,5800,120,0.03225530222523958,1.0,1.0,,,,,,,,,
121,5817,121,0.06449757308582775,1.0,1.0,0.030043470445380083,1.0,1.0,,,,,,
122,5842,122,0.03420007166607926,1.0,1.0,,,,,,,,,
123,5955,123,0.030388658260344526,1.0,1.0,,,,,,,,,
124,5988,124,0.03348406017350499,1.0,1.0,,,,,,,,,
125,6029,125,0.05412593310326339,1.0,1.0,,,,,,,,,
126,6198,126,0.04047894592308217,1.0,1.0,,,,,,,,,
127,6239,127,0.029125958246528173,1.0,1.0,,,,,,,,,
128,6400,128,0.02889683968821191,1.0,1.0,,,,,,,,,
129,6457,129,0.0324605445779993,1.0,1.0,0.13589499359066395,0.0,0.0,,,,,,
130,6482,130,0.03413934872261355,1.0,1.0,,,,,,,,,
131,6507,131,0.032131344639540954,1.0,1.0,,,,,,,,,
132,6556,132,0.15509553950900834,0.0,0.0,,,,,,,,,
133,6573,133,0.04133825859054923,1.0,1.0,,,,,,,,,
134,6598,134,0.03875305344350636,1.0,1.0,,,,,,,,,
135,6639,135,0.055955773438094186,0.0,0.0,,,,,,,,,
136,6672,136,0.027794621090288275,1.0,1.0,,,,,,,,,
137,6705,137,0.03007583393366076,1.0,1.0,0.0260413215868175,1.0,1.0,,,,,,
138,6794,138,0.037417778679995205,1.0,1.0,,,,,,,,,
139,6819,139,0.07868561427108944,0.0,0.0,,,,,,,,,
140,6852,140,0.067254128245404,0.0,0.0,,,,,,,,,
141,6885,141,0.054329277903889306,1.0,1.0,,,,,,,,,
142,6918,142,0.03539813737734221,1.0,1.0,,,,,,,,,
143,6935,143,0.03543957734422293,1.0,1.0,,,,,,,,,
144,6992,144,0.02735203303141004,1.0,1.0,,,,,,,,,
145,7009,145,0.25894390359520914,0.0,0.0,0.046387357361527395,1.0,1.0,,,,,,
146,7178,146,0.033134956736051074,0.0,0.0,,,,,,,,,
147,7259,147,0.03479643195599783,1.0,1.0,,,,,,,,,
148,7284,148,0.04384968765400117,1.0,1.0,,,,,,,,,
