step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,25,1,0.4969864211245052,0.0,0.0,0.20044930648718337,0.0,0.0,,,,,,
2,50,2,0.4285354666784405,0.0,0.0,,,,,,,,,
3,75,3,0.4437448924717803,0.0,0.0,,,,,,,,,
4,92,4,0.5571284436620771,0.0,0.0,,,,,,,,,
5,109,5,0.5694369900226594,0.0,0.0,,,,,,,,,
6,158,6,0.12775220618317085,0.0,0.0,,,,,,,,,
7,175,7,0.5146931128669531,0.0,0.0,,,,,,,,,
8,312,8,0.05833310944288421,0.0,0.0,,,,,,,,,
9,393,9,0.044551086970255706,1.0,1.0,0.03552760301787931,1.0,1.0,,,,,,
10,482,10,0.04803778518859129,0.0,0.0,,,,,,,,,
11,579,11,0.03701126307908756,0.0,0.0,,,,,,,,,
12,604,12,0.039601921693732334,1.0,1.0,,,,,,,,,
13,653,13,0.0283477547710451,1.0,1.0,,,,,,,,,
14,742,14,0.03296849414558065,1.0,1.0,,,,,,,,,
15,759,15,0.04106594953744207,1.0,1.0,,,,,,,,,
16,784,16,0.1042074813445409,0.0,0.0,,,,,,,,,
17,865,17,0.028527044698443207,1.0,1.0,0.03200139433918853,1.0,1.0,,,,,,
18,954,18,0.03382156867925501,1.0,1.0,,,,,,,,,
19,987,19,0.14174858252139527,0.0,0.0,,,,,,,,,
20,1036,20,0.33169332027512916,0.0,0.0,,,,,,,,,
21,1101,21,0.08023429546039551,0.0,0.0,,,,,,,,,
22,1126,22,0.05314687325929601,1.0,1.0,,,,,,,,,
23,1143,23,0.061706538917496806,1.0,1.0,,,,,,,,,
24,1200,24,0.03482743502461484,1.0,1.0,,,,,,,,,
25,1361,25,0.03551102526008617,1.0,1.0,0.038157198154949584,1.0,1.0,,,,,,
26,1394,26,0.03714260936714709,1.0,1.0,,,,,,,,,
27,1419,27,0.025020492577459662,1.0,1.0,,,,,,,,,
28,1452,28,0.031081056338734925,1.0,1.0,,,,,,,,,
29,1525,29,0.03274328324309964,1.0,1.0,,,,,,,,,
30,1542,30,0.04338465594220906,1.0,1.0,,,,,,,,,
31,1631,31,0.025462357296835932,1.0,1.0,,,,,,,,,
32,1656,32,0.03923685053518662,1.0,1.0,,,,,,,,,
33,1689,33,0.028968739294286935,1.0,1.0,0.027839268231298776,1.0,1.0,,,,,,
34,1722,34,0.13544880657456815,0.0,0.0,,,,,,,,,
35,1763,35,0.026949902713298803,1.0,1.0,,,,,,,,,
36,1796,36,0.027119074145739434,1.0,1.0,,,,,,,,,
37,1821,37,0.027463245677451294,1.0,1.0,,,,,,,,,
38,1870,38,0.029886694954087335,1.0,1.0,,,,,,,,,
39,1887,39,0.10763971999520436,0.0,0.0,,,,,,,,,
40,1936,40,0.024229575459636783,1.0,1.0,,,,,,,,,
41,1961,41,0.029465466535960633,1.0,1.0,0.03196208269579075,1.0,1.0,,,,,,
42,2018,42,0.02674125528906838,1.0,1.0,,,,,,,,,
43,2059,43,0.022905240434920416,1.0,1.0,,,,,,,,,
44,2156,44,0.03380976092506899,1.0,1.0,,,,,,,,,
45,2173,45,0.04255680514499545,1.0,1.0,,,,,,,,,
46,2190,46,0.045548052594531326,1.0,1.0,,,,,,,,,
47,2223,47,0.029169274517335,1.0,1.0,,,,,,,,,
48,2272,48,0.0255462374293711,1.0,1.0,,,,,,,,,
49,2489,49,0.022562169405980423,1.0,1.0,0.031899067611666394,1.0,1.0,,,,,,
50,2570,50,0.024579524796456097,1.0,1.0,,,,,,,,,
51,2603,51,0.2646382185310358,0.0,0.0,,,,,,,,,
52,2660,52,0.03459195337624157,1.0,1.0,,,,,,,,,
53,2685,53,0.04710823019500822,1.0,1.0,,,,,,,,,
54,2742,54,0.02562706118524407,1.0,1.0,,,,,,,,,
55,2759,55,0.028852770245866854,1.0,1.0,,,,,,,,,
56,2784,56,0.02192715305679788,1.0,1.0,,,,,,,,,
57,2849,57,0.039040745344245814,1.0,1.0,0.03663169670791831,1.0,1.0,,,,,,
58,2866,58,0.03302926684962586,1.0,1.0,,,,,,,,,
59,2931,59,0.022724122584950237,1.0,1.0,,,,,,,,,
60,3012,60,0.03378261311585084,1.0,1.0,,,,,,,,,
61,3181,61,0.029923789958619242,1.0,1.0,,,,,,,,,
62,3230,62,0.026815997435260214,1.0,1.0,,,,,,,,,
63,3287,63,0.02313704571865466,1.0,1.0,,,,,,,,,
64,3336,64,0.058193974742898724,0.0,0.0,,,,,,,,,
65,3401,65,0.03937413873674814,1.0,1.0,0.03136009909804367,1.0,1.0,,,,,,
66,3426,66,0.04265428323298693,1.0,1.0,,,,,,,,,
67,3739,67,0.02589550833490555,1.0,1.0,,,,,,,,,
68,3756,68,0.04468957867473364,1.0,1.0,,,,,,,,,
69,3829,69,0.03201120442930712,1.0,1.0,,,,,,,,,
70,3846,70,0.019493548162281514,1.0,1.0,,,,,,,,,
71,3903,71,0.028348372437592063,1.0,1.0,,,,,,,,,
72,4200,72,0.04678848396806004,0.0,0.0,,,,,,,,,
73,4241,73,0.02940994519670494,1.0,1.0,0.02090661952563096,1.0,1.0,,,,,,
74,4282,74,0.025123093702422925,1.0,1.0,,,,,,,,,
75,4299,75,0.02715156386431773,1.0,1.0,,,,,,,,,
76,4356,76,0.0199536526148274,1.0,1.0,,,,,,,,,
77,4405,77,0.0199634491140993,1.0,1.0,,,,,,,,,
78,4430,78,0.023757045769598334,1.0,1.0,,,,,,,,,
79,4511,79,0.02573582236524089,1.0,1.0,,,,,,,,,
80,4552,80,0.021792513922089713,1.0,1.0,,,,,,,,,
81,4585,81,0.0287649721163325,1.0,1.0,0.023480509551549664,1.0,1.0,,,,,,
82,4642,82,0.020346016599838288,1.0,1.0,,,,,,,,,
83,4691,83,0.024660392646037504,1.0,1.0,,,,,,,,,
84,4756,84,0.1630690510133172,0.0,0.0,,,,,,,,,
85,4773,85,0.02628462990745902,1.0,1.0,,,,,,,,,
86,4806,86,0.05234146903152578,1.0,1.0,,,,,,,,,
87,4839,87,0.03633030598110054,1.0,1.0,,,,,,,,,
88,4856,88,0.018665972769958898,1.0,1.0,,,,,,,,,
89,4953,89,0.02358440461083471,1.0,1.0,0.13272332755732352,0.0,0.0,,,,,,
90,5010,90,0.08165751595050096,0.0,0.0,,,,,,,,,
91,5123,91,0.02950861255077013,1.0,1.0,,,,,,,,,
92,5156,92,0.04058179734391161,1.0,1.0,,,,,,,,,
93,5205,93,0.04259380686872949,1.0,1.0,,,,,,,,,
94,5254,94,0.022174162662934878,1.0,1.0,,,,,,,,,
95,5287,95,0.024115792275406417,1.0,1.0,,,,,,,,,
96,5360,96,0.021323157505636726,1.0,1.0,,,,,,,,,
97,5513,97,0.027977113068091537,1.0,1.0,0.030757594748089707,1.0,1.0,,,,,,
98,5530,98,0.019595679729245603,1.0,1.0,,,,,,,,,
99,5571,99,0.21044397679020768,0.0,0.0,,,,,,,,,
100,5588,100,0.03148530799895525,1.0,1.0,,,,,,,,,
101,5621,101,0.025866397844802127,1.0,1.0,,,,,,,,,
102,5710,102,0.03827705177901821,1.0,1.0,,,,,,,,,
103,5751,103,0.03261078842077404,1.0,1.0,,,,,,,,,
104,5768,104,0.03802117754938081,1.0,1.0,,,,,,,,,
105,5785,105,0.037181505389744414,1.0,1.0,0.030570550844228515,1.0,1.0,,,,,,
106,5882,106,0.024801527682138842,1.0,1.0,,,,,,,,,
107,5899,107,0.015472564437659457,1.0,1.0,,,,,,,,,
108,5924,108,0.027077765433738632,1.0,1.0,,,,,,,,,
109,5949,109,0.020325640634982843,1.0,1.0,,,,,,,,,
110,6006,110,0.02602882745243343,1.0,1.0,,,,,,,,,
111,6031,111,0.023726480027350283,1.0,1.0,,,,,,,,,
112,6048,112,0.03007902937184554,1.0,1.0,,,,,,,,,
113,6073,113,0.028480742988952746,1.0,1.0,0.03496076420724421,1.0,1.0,,,,,,
114,6098,114,0.023833095921824372,1.0,1.0,,,,,,,,,
115,6155,115,0.02596533563441231,1.0,1.0,,,,,,,,,
116,6172,116,0.022040773721237205,1.0,1.0,,,,,,,,,
117,6189,117,0.036763182198628785,1.0,1.0,,,,,,,,,
118,6214,118,0.017852286853594704,1.0,1.0,,,,,,,,,
119,6239,119,0.03282245723918701,1.0,1.0,,,,,,,,,
120,6344,120,0.026817427599587697,1.0,1.0,,,,,,,,,
121,6369,121,0.02051800618636965,1.0,1.0,0.024584826539586564,1.0,1.0,,,,,,
122,6402,122,0.027298948428360746,1.0,1.0,,,,,,,,,
123,6443,123,0.057958782691042876,0.0,0.0,,,,,,,,,
124,6500,124,0.025894092820817602,1.0,1.0,,,,,,,,,
125,6525,125,0.021699424111672368,1.0,1.0,,,,,,,,,
126,6646,126,0.05300326107140669,0.0,0.0,,,,,,,,,
127,6671,127,0.025601962600533927,1.0,1.0,,,,,,,,,
128,6704,128,0.04203134654380847,1.0,1.0,,,,,,,,,
129,6737,129,0.017099469680979383,1.0,1.0,0.030466094745206646,1.0,1.0,,,,,,
130,6754,130,0.023975176087842557,1.0,1.0,,,,,,,,,
131,6779,131,0.32785773497850945,0.0,0.0,,,,,,,,,
132,6836,132,0.029340338699694254,1.0,1.0,,,,,,,,,
133,6853,133,0.021569802898593483,1.0,1.0,,,,,,,,,
